sourceId,observedProperty,beginDate,endDate,featureId,ObservationId,uom,interpolationType,aggregationDuration
argentina-ina,"Discharge, stream",2020-08-06T03:00:00Z,2020-08-31T03:00:00Z,00D3297FBC6A70359AC9C78EC0A56AE2EBBD8B6C,68DA7DC5CB959B851B4461E8CA6A875790B8F919,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2024-01-16T03:00:00Z,2025-07-18T16:50:22Z,083988DC8C2E39D6E0C82B296A857F6A088B8028,8B8B4DAC4D5C624216FCA6AAE71E31B79C5BA08B,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2006-01-01T03:00:00Z,2025-07-18T16:50:22Z,0DF4C4284AA14E0A545C0F855B4F6FF558693CEE,75CBA16F5396CBBB837FB1CD82451A34F0C0DB11,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",1970-01-01T03:00:00Z,2017-09-08T03:00:00Z,23137FB463C0902450418E9E2F0D38C719419AA9,D3A7219CC7AB0722447AF8848359585C37A19E3B,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2001-05-01T03:00:00Z,2023-02-28T03:00:00Z,255B2448BEBEAF022A54211BB36BAE67020214E8,2EF3CD1062B09CA7A5252AD7B11AAF0A1E34A68F,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2001-05-01T03:00:00Z,2022-08-31T03:00:00Z,2F12488193F66939384E07C2FD757FDAF2781D52,3B88801E7E26746B1FD376063418A7760B494064,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2023-06-29T03:00:00Z,2025-07-18T16:50:22Z,329BB00817E03FB6C1E86BF7625BA824692C9A95,A008043E7E6E0319D45CC6F9082A0F90322B18BA,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2006-01-01T03:00:00Z,2023-07-04T03:00:00Z,329E5E2914B19DB23520D64DFA541CC83DE345F2,FDA9671CC65CD651649CB085C589497D6B079BCB,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2024-01-16T03:00:00Z,2025-07-18T16:50:22Z,33D8EF13796FA55AD42D54A54EF43D6DEB4CB529,5CF34935BE958C58C2CD7A25E854BCA8446EA3D2,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2015-07-21T03:00:00Z,2022-02-14T03:00:00Z,3437B9EF80504B6A2526BF065B78AB9DAE4BD857,7C4059020EB36BE82BE7757CF8229E02AB735E1C,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2021-11-01T03:00:00Z,2025-07-18T16:50:22Z,3A2D53454064685F479B74B6C5B3EAA289DE5E00,DA759B3978C1E2604161946D3257B388B00E8AFB,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2021-11-01T03:00:00Z,2025-07-18T16:50:22Z,3B33C316B7F67D28C04C8D2E9EAC6C92BBE00C89,5D97F0432415411BEAC59772CF00D6420D5C8A18,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",1985-01-01T03:00:00Z,2025-07-18T16:50:22Z,3D6199412BFA3DFEAB30DD9E0E4C7EEFEB6DECE1,C5CC107C5DC9E2DDB75025AB8C9B7C05FB51B098,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2006-01-01T03:00:00Z,2025-07-18T16:50:22Z,4638148B18E69F759A31CF738A0B4EA1FC93408D,130327B48F570005C0B4403BA215987E5559FA9E,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2001-05-01T03:00:00Z,2022-08-31T03:00:00Z,4E5049353F84838B543263F28350F3F6F0AFBF1A,A362024395D8AA7F7B4EE8071994928DBF85935B,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2006-01-01T03:00:00Z,2025-07-18T16:50:22Z,588230A4E9F7E8B48E57262B53FC4BBE511DB6D6,3C10B1699718A9F6ED580B275E795128A27C8133,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",1970-01-01T03:00:00Z,2025-07-18T16:50:22Z,5D4AF2886B4D79302D1F3F2EE3F33420865A2411,C6D807C88B341DF60C2DB52DE7AA74D2CAC91B0C,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2001-05-01T03:00:00Z,2022-08-31T03:00:00Z,63DD9E8DB77A8371D6FABDFA8547EC752158FB47,C99E0100F9AA4184D8279BE2480D5EC1DFE79EB8,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",1970-01-01T03:00:00Z,2025-07-18T16:50:22Z,670DBE1488487406B9BFA7BBC32FFE83EF34D28B,9559CC684D1372BFBCB4E384FC96C5D4FDF32060,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2021-11-01T03:00:00Z,2024-01-09T03:00:00Z,6E40C41DBA2529CC4BC79B5E8AEF9AF086FF6C6E,BDA454FD5DFBBA8229D6CBEEA8CCF00D8E4331EB,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",1980-04-25T03:00:00Z,2025-07-18T16:50:22Z,7040838B6BB402DAAA03931F9AEC8113C897D73A,7E737DE5A87126BEB79E293033CD80CAFFEC9BEA,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",1970-01-01T03:00:00Z,2020-10-06T03:00:00Z,7FE2C8C2F189385DC638AFB4B76D3A2B8092490E,F503A32205105C7F5CE5CDF73CE0CAA00E0DE37A,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2001-05-01T03:00:00Z,2022-08-31T03:00:00Z,8572EAAB24A7E531577CC4B33DDE3162F1F1EE36,F4D24BEA708F19C3EA9E0834C92DE0832B509903,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2001-05-01T03:00:00Z,2023-02-28T03:00:00Z,88C535C1C4EB5C1726ADACBEDAE9E7C3EB070964,C78343503CC355328AE5E52E78532671A94DDD8F,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2023-12-19T03:00:00Z,2025-07-18T16:50:22Z,8EF9E5A4E887BC671B7F76937DA7316AF5DC02CA,61E7DD9E0B0550C40175DEC41400AC74AE84A7CC,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",1985-01-01T03:00:00Z,2025-07-18T16:50:22Z,A0B3D2485864049356783CD1DE136A84768E9284,B904619A7F707B81513E5AC89C5D16DEB6AA2836,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2006-01-01T03:00:00Z,2025-07-18T16:50:22Z,ACDBC2528E4886B90A5EE42C12B561ADAD76C29C,D28A2AAE3E1E5977567F90EAA74CFC47255AF4CE,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2020-08-07T03:00:00Z,2020-08-31T03:00:00Z,B1FE1C7BE118E005E0134B246EB5086DC6C61A6A,83B6447230BB71A484496181750E034BD447AD1A,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2001-05-01T03:00:00Z,2022-12-31T03:00:00Z,B38D3131C4A20CAF19650A608203326E72FAC085,CDA7C50D223B01A86965BD26610988A684F4A419,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",1910-01-01T04:16:48Z,2022-08-30T03:00:00Z,B426678B2EB554336B4DC9FDB4AA4DD25EF440BC,5D5E2A17AACE3A06CE6F652737C776946654E561,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",1970-01-01T03:00:00Z,2025-07-18T16:50:22Z,B76F89BC3A30F644310F1CC4C611C7EA6047DA7A,D2C41DBBED923E61841EE3BF059CE3DC8371F4B5,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",1970-01-01T03:00:00Z,2025-07-18T16:50:22Z,C2C298DAC1EBB179763E064D213E671B4B199F42,122CBFFB7E91FD72C27E268ED8EB8518E281FD69,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",1910-07-01T04:16:48Z,2022-08-31T03:00:00Z,C5E647BB1FA659FBB88DDAB2E5581195093E2444,B9D5D171656B0D3B1A59D86AA91F39FA19D3E588,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2001-05-01T03:00:00Z,2022-08-31T03:00:00Z,C8D5E819285EFC1C9FB01A27D5620EED446673D7,8FB063D2D68EBFE5F88200427D44C36C657E86D8,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2015-07-21T03:00:00Z,2025-07-18T16:50:22Z,CCA40036EDCA13FB4BCBE1305FC3EF866E8CF015,4B9BB935FFE14FF291F33A22C34447B7DB0B3100,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2006-01-01T03:00:00Z,2025-07-18T16:50:22Z,CFD04512F2051C00F5CFD00C4DE766399684B033,F4DAA494D1CA593C6BC5989D1F6027ACA3FAB7C2,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2015-07-21T03:00:00Z,2025-07-18T16:50:22Z,D35B4E539A4840513F23C64F15BE89333B7488D7,B569750A1B728AB62D03460068CF80CCCD011D13,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",1970-01-01T03:00:00Z,2024-05-14T03:00:00Z,D37C942BC102184B654894014701E8C9C82E7C3D,0EBA467226CE495743DB99E489262802AA2880DD,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",1910-01-01T04:16:48Z,2022-08-31T03:00:00Z,D6942570E3BED83AE612AC2914D26DB36A063211,72CEB05F5CD108829A115EEAB4E43EF407A6C7C6,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",1994-01-01T03:00:00Z,2020-10-06T03:00:00Z,D72E4C7C36119D3899C5C78BD12ACD8D81B842FC,AE44EC8F5C91B2D8CB4B57FCBC541E7F1C24A84F,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2015-07-30T03:00:00Z,2021-11-18T03:00:00Z,DD7287DE57DFAD2B69C2D99C2B72BDA7450E952C,543D2A6F49C63D4FE939136686235BEDE60232C4,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2001-05-01T03:00:00Z,2023-02-28T03:00:00Z,DE2D70022F8FB5A30D5B8D27721996CE5029F47E,738E676F0044FB62167C1BA764B57CDE12A378FB,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2021-11-01T03:00:00Z,2025-07-18T16:50:22Z,DFD96AC4A30EE51D31BF09A6F7EECC9C269556E1,8E1121E619BF1AA452F82269C4DEF28240F9B247,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2024-09-24T03:00:00Z,2025-07-18T16:50:22Z,ECF425708E7A51D0047EAD3824801C786A0948FF,7014C2DB41D9F94204E8144929F10D2EF3A5BF07,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",1904-01-01T04:16:48Z,2025-07-18T16:50:22Z,F426CC5C7D4A1563EE3B41E4F50FB4DE8568D3F2,B6DF46A8F74E5A5F2F7A1808BB214724C7965EF9,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",1995-05-01T03:00:00Z,2025-07-18T16:50:22Z,F5C001AAB05E68773AAEF77E7D4C6085CBD7AD73,B3A9AFD09CBECC77C032301D2767EFD4CBA5DA38,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",1941-12-01T03:00:00Z,2023-08-31T03:00:00Z,F8616EC2A979C3E76482FB83F0EE1564F6CC776B,28C659DF561786624922E10ABA76C73D3557BA9E,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",1994-07-24T03:00:00Z,2025-07-18T16:50:22Z,FAAC49BA633EFF325BE5D2BA81BE14574A268ABA,3D8E439A0E54BD153532E1EE5D48EBD6DBAF9695,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",1971-01-01T03:00:00Z,2025-07-18T16:50:22Z,FB7404060DA544222C32F7A19374FB217127E928,7B4DC84205910846CB38994163F2B435CA2207DD,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2020-08-06T03:00:00Z,2024-05-06T03:00:00Z,FD659B06C6075E54A63CEFD27E89BB991DAA1932,C58395A6520D4B8A47C120F0E556FFECD1CF7270,metros cúbicos por segundo,Average in succeeding interval,P1D
